participant_id,file_name,category,metric
c1e2d5bd-e0ae-ea1b-25b3-e1c96b920550,Adidas_001_Image,Fashion,0
c1e2d5bd-e0ae-ea1b-25b3-e1c96b920550,Fossil-001_Image,Fashion,0
c1e2d5bd-e0ae-ea1b-25b3-e1c96b920550,Gucci-001_Image,Fashion,90
c1e2d5bd-e0ae-ea1b-25b3-e1c96b920550,Intel-001_Image,Electronics,0
c1e2d5bd-e0ae-ea1b-25b3-e1c96b920550,Nokia-001_Image,Electronics,0
c1e2d5bd-e0ae-ea1b-25b3-e1c96b920550,OnePlus-001_Image,Electronics,0
c1e2d5bd-e0ae-ea1b-25b3-e1c96b920550,Sonos-001_Image,Electronics,0
c1e2d5bd-e0ae-ea1b-25b3-e1c96b920550,Asus-001_Image,Electronics,0
c1e2d5bd-e0ae-ea1b-25b3-e1c96b920550,BeatsByDre-001_Image,Electronics,0
c1e2d5bd-e0ae-ea1b-25b3-e1c96b920550,Samsung-001_Image,Electronics,93.33333333
c1e2d5bd-e0ae-ea1b-25b3-e1c96b920550,Marshall-001_Image,Electronics,0
c1e2d5bd-e0ae-ea1b-25b3-e1c96b920550,HP-001_Image,Electronics,0
c2dae131-4408-16f8-063f-d5f19be1cbab,Amazon-001_Image,Electronics,0
c2dae131-4408-16f8-063f-d5f19be1cbab,Cheerios-001_Image,Food & Beverage,0
c2dae131-4408-16f8-063f-d5f19be1cbab,Heineken-001_Image,Food & Beverage,0
c2dae131-4408-16f8-063f-d5f19be1cbab,Heinz-001_Image,Food & Beverage,0
c2dae131-4408-16f8-063f-d5f19be1cbab,Jif-001_Image,Food & Beverage,0
c2dae131-4408-16f8-063f-d5f19be1cbab,Kinder-001_Image,Food & Beverage,0
c2dae131-4408-16f8-063f-d5f19be1cbab,KitKat-001_Image,Food & Beverage,0
c2dae131-4408-16f8-063f-d5f19be1cbab,Lipton-001_Image,Food & Beverage,0
c2dae131-4408-16f8-063f-d5f19be1cbab,Oreo-001_Image,Food & Beverage,0
c2dae131-4408-16f8-063f-d5f19be1cbab,Pepsi-001_Image,Food & Beverage,0
c2dae131-4408-16f8-063f-d5f19be1cbab,Snickers-001_Image,Food & Beverage,0
c2dae131-4408-16f8-063f-d5f19be1cbab,DKNY-001_Image,Fashion,0
